date,time,g_uk,g_canada,g_usa,r_usa,r_canada,r_uk,r_relationships,r_programming,r_memes,r_science
2023-08-02,15:00:00,79,61,62,6,50,25,25,45,33,40
2023-08-02,16:00:00,77,72,68,26,60,25,61,72,41,80
2023-08-02,17:00:00,76,70,65,26,40,0,54,45,25,80
2023-08-02,18:00:00,77,65,67,33,80,0,58,36,50,60
2023-08-02,19:00:00,80,72,79,26,70,0,61,27,50,20
2023-08-02,20:00:00,78,73,79,6,20,0,45,18,33,0
2023-08-02,21:00:00,76,82,89,46,60,0,64,18,41,0
2023-08-02,22:00:00,52,100,99,40,100,25,64,27,33,0
2023-08-02,23:00:00,32,87,94,0,0,0,0,0,0,0
2023-08-03,00:00:00,14,88,81,0,0,0,0,0,0,0
2023-08-03,01:00:00,11,76,79,40,40,0,54,18,33,20
2023-08-03,02:00:00,9,64,66,26,0,0,64,0,8,40
2023-08-03,03:00:00,10,43,55,26,20,0,41,9,33,40
2023-08-03,04:00:00,17,28,41,13,20,12,16,9,25,20
2023-08-03,05:00:00,38,17,28,6,10,37,9,18,0,0
2023-08-03,06:00:00,64,10,15,13,10,87,12,27,16,20
2023-08-03,07:00:00,77,8,11,13,0,87,9,36,33,60
2023-08-03,08:00:00,90,9,11,0,0,75,19,45,41,60
2023-08-03,09:00:00,89,20,15,0,0,75,35,54,58,40
2023-08-03,10:00:00,84,41,25,0,30,87,32,45,41,20
2023-08-03,11:00:00,79,56,36,13,30,75,25,45,16,20
2023-08-03,12:00:00,75,63,44,20,20,37,25,54,8,60
2023-08-03,13:00:00,75,69,54,20,50,62,35,45,33,100
2023-08-03,14:00:00,68,62,59,26,60,75,38,63,91,60
2023-08-03,15:00:00,75,64,65,33,60,62,25,54,100,40
2023-08-03,16:00:00,71,69,68,40,50,50,29,45,58,80
2023-08-03,17:00:00,65,65,66,46,30,25,35,63,41,40
2023-08-03,18:00:00,78,67,72,46,30,50,35,81,41,0
2023-08-03,19:00:00,75,75,77,40,20,100,45,100,50,0
2023-08-03,20:00:00,84,77,88,33,40,50,64,81,75,20
2023-08-03,21:00:00,75,78,95,13,50,12,64,45,58,20
2023-08-03,22:00:00,54,83,94,0,70,25,51,27,16,0
2023-08-03,23:00:00,27,81,95,0,0,0,0,0,0,0
2023-08-04,00:00:00,18,84,87,0,0,0,0,0,0,0
2023-08-04,01:00:00,10,74,78,53,20,12,35,9,16,40
2023-08-04,02:00:00,9,65,69,33,30,12,25,0,16,20
2023-08-04,03:00:00,10,43,59,13,40,0,25,9,41,20
2023-08-04,04:00:00,19,27,43,13,20,0,45,54,41,40
2023-08-04,05:00:00,39,18,29,13,10,0,41,45,8,20
2023-08-04,06:00:00,59,11,21,0,10,25,29,27,0,20
2023-08-04,07:00:00,92,9,12,0,0,50,29,36,0,40
2023-08-04,08:00:00,100,12,11,0,0,25,19,9,0,20
2023-08-04,09:00:00,92,21,16,0,10,25,25,9,33,40
2023-08-04,10:00:00,91,40,26,0,20,75,35,18,33,60
2023-08-04,11:00:00,86,59,34,6,30,50,41,27,16,80
2023-08-04,12:00:00,78,69,48,33,50,25,48,54,33,100
2023-08-04,13:00:00,73,67,59,26,70,50,45,54,25,60
2023-08-04,14:00:00,79,59,63,13,90,62,32,18,33,40
2023-08-04,15:00:00,79,65,66,33,90,50,58,18,33,40
2023-08-04,16:00:00,80,66,70,20,80,37,74,54,33,80
2023-08-04,17:00:00,73,65,69,13,60,37,45,45,41,80
2023-08-04,18:00:00,82,65,72,40,30,25,32,27,41,20
2023-08-04,19:00:00,81,70,74,26,60,25,41,36,41,20
2023-08-04,20:00:00,84,75,82,0,60,12,48,27,66,40
2023-08-04,21:00:00,79,75,91,0,40,12,41,9,66,20
2023-08-04,22:00:00,57,83,98,20,40,50,38,27,50,0
2023-08-04,23:00:00,31,87,100,0,0,0,0,0,0,0
2023-08-05,00:00:00,18,81,94,0,0,0,0,0,0,0
2023-08-05,01:00:00,15,77,84,46,50,12,22,9,16,80
2023-08-05,02:00:00,7,68,73,26,20,0,32,0,8,40
2023-08-05,03:00:00,7,46,59,0,20,0,35,18,41,0
2023-08-05,04:00:00,13,34,44,0,20,0,35,18,50,0
2023-08-05,05:00:00,26,19,33,0,0,12,48,0,25,0
2023-08-05,06:00:00,45,15,20,13,0,37,38,0,8,40
2023-08-05,07:00:00,70,10,13,13,0,37,22,0,8,40
2023-08-05,08:00:00,85,10,11,0,0,50,16,27,8,20
2023-08-05,09:00:00,90,16,12,0,0,37,9,36,16,60
2023-08-05,10:00:00,76,33,18,6,0,12,9,18,58,100
2023-08-05,11:00:00,78,50,28,13,10,37,6,18,50,100
2023-08-05,12:00:00,69,67,36,13,20,50,29,18,16,40
2023-08-05,13:00:00,69,61,45,20,30,50,48,18,41,0
2023-08-05,14:00:00,66,56,55,100,40,37,32,36,58,20
2023-08-05,15:00:00,72,51,56,93,50,25,25,72,58,20
2023-08-05,16:00:00,77,51,56,13,40,37,54,63,66,20
2023-08-05,17:00:00,73,47,58,13,10,75,100,27,75,20
2023-08-05,18:00:00,72,52,57,26,10,75,67,9,50,0
2023-08-05,19:00:00,72,58,52,20,60,37,9,0,8,0
