date,time,activity
2023-08-02,15:00:00,79
2023-08-02,16:00:00,77
2023-08-02,17:00:00,76
2023-08-02,18:00:00,77
2023-08-02,19:00:00,80
2023-08-02,20:00:00,78
2023-08-02,21:00:00,76
2023-08-02,22:00:00,52
2023-08-02,23:00:00,32
2023-08-03,00:00:00,14
2023-08-03,01:00:00,11
2023-08-03,02:00:00,9
2023-08-03,03:00:00,10
2023-08-03,04:00:00,17
2023-08-03,05:00:00,38
2023-08-03,06:00:00,64
2023-08-03,07:00:00,77
2023-08-03,08:00:00,90
2023-08-03,09:00:00,89
2023-08-03,10:00:00,84
2023-08-03,11:00:00,79
2023-08-03,12:00:00,75
2023-08-03,13:00:00,75
2023-08-03,14:00:00,68
2023-08-03,15:00:00,75
2023-08-03,16:00:00,71
2023-08-03,17:00:00,65
2023-08-03,18:00:00,78
2023-08-03,19:00:00,75
2023-08-03,20:00:00,84
2023-08-03,21:00:00,75
2023-08-03,22:00:00,54
2023-08-03,23:00:00,27
2023-08-04,00:00:00,18
2023-08-04,01:00:00,10
2023-08-04,02:00:00,9
2023-08-04,03:00:00,10
2023-08-04,04:00:00,19
2023-08-04,05:00:00,39
2023-08-04,06:00:00,59
2023-08-04,07:00:00,92
2023-08-04,08:00:00,100
2023-08-04,09:00:00,92
2023-08-04,10:00:00,91
2023-08-04,11:00:00,86
2023-08-04,12:00:00,78
2023-08-04,13:00:00,73
2023-08-04,14:00:00,79
2023-08-04,15:00:00,79
2023-08-04,16:00:00,80
2023-08-04,17:00:00,73
2023-08-04,18:00:00,82
2023-08-04,19:00:00,81
2023-08-04,20:00:00,84
2023-08-04,21:00:00,79
2023-08-04,22:00:00,57
2023-08-04,23:00:00,31
2023-08-05,00:00:00,18
2023-08-05,01:00:00,15
2023-08-05,02:00:00,7
2023-08-05,03:00:00,7
2023-08-05,04:00:00,13
2023-08-05,05:00:00,26
2023-08-05,06:00:00,45
2023-08-05,07:00:00,70
2023-08-05,08:00:00,85
2023-08-05,09:00:00,90
2023-08-05,10:00:00,76
2023-08-05,11:00:00,78
2023-08-05,12:00:00,69
2023-08-05,13:00:00,69
2023-08-05,14:00:00,66
2023-08-05,15:00:00,72
2023-08-05,16:00:00,77
2023-08-05,17:00:00,73
2023-08-05,18:00:00,72
2023-08-05,19:00:00,72
