Categoría: Noticias locales

Tiempo,Geo: Canadá
2023-07-30T23,68
2023-07-31T00,75
2023-07-31T01,78
2023-07-31T02,80
2023-07-31T03,68
2023-07-31T04,57
2023-07-31T05,40
2023-07-31T06,24
2023-07-31T07,16
2023-07-31T08,8
2023-07-31T09,8
2023-07-31T10,9
2023-07-31T11,18
2023-07-31T12,39
2023-07-31T13,52
2023-07-31T14,64
2023-07-31T15,65
2023-07-31T16,61
2023-07-31T17,61
2023-07-31T18,66
2023-07-31T19,62
2023-07-31T20,64
2023-07-31T21,68
2023-07-31T22,77
2023-07-31T23,78
2023-08-01T00,81
2023-08-01T01,79
2023-08-01T02,80
2023-08-01T03,73
2023-08-01T04,58
2023-08-01T05,42
2023-08-01T06,26
2023-08-01T07,15
2023-08-01T08,11
2023-08-01T09,8
2023-08-01T10,10
2023-08-01T11,20
2023-08-01T12,42
2023-08-01T13,58
2023-08-01T14,64
2023-08-01T15,60
2023-08-01T16,60
2023-08-01T17,63
2023-08-01T18,63
2023-08-01T19,61
2023-08-01T20,61
2023-08-01T21,67
2023-08-01T22,71
2023-08-01T23,82
2023-08-02T00,84
2023-08-02T01,82
2023-08-02T02,78
2023-08-02T03,74
2023-08-02T04,60
2023-08-02T05,45
2023-08-02T06,27
2023-08-02T07,16
2023-08-02T08,11
2023-08-02T09,7
2023-08-02T10,9
2023-08-02T11,18
2023-08-02T12,42
2023-08-02T13,58
2023-08-02T14,67
2023-08-02T15,64
2023-08-02T16,59
2023-08-02T17,61
2023-08-02T18,72
2023-08-02T19,70
2023-08-02T20,65
2023-08-02T21,72
2023-08-02T22,73
2023-08-02T23,82
2023-08-03T00,100
2023-08-03T01,87
2023-08-03T02,88
2023-08-03T03,76
2023-08-03T04,64
2023-08-03T05,43
2023-08-03T06,28
2023-08-03T07,17
2023-08-03T08,10
2023-08-03T09,8
2023-08-03T10,9
2023-08-03T11,20
2023-08-03T12,41
2023-08-03T13,56
2023-08-03T14,63
2023-08-03T15,69
2023-08-03T16,62
2023-08-03T17,64
2023-08-03T18,69
2023-08-03T19,65
2023-08-03T20,67
2023-08-03T21,75
2023-08-03T22,77
2023-08-03T23,78
2023-08-04T00,83
2023-08-04T01,81
2023-08-04T02,84
2023-08-04T03,74
2023-08-04T04,65
2023-08-04T05,43
2023-08-04T06,27
2023-08-04T07,18
2023-08-04T08,11
2023-08-04T09,9
2023-08-04T10,12
2023-08-04T11,21
2023-08-04T12,40
2023-08-04T13,59
2023-08-04T14,69
2023-08-04T15,67
2023-08-04T16,59
2023-08-04T17,65
2023-08-04T18,66
2023-08-04T19,65
2023-08-04T20,65
2023-08-04T21,70
2023-08-04T22,75
2023-08-04T23,75
2023-08-05T00,83
2023-08-05T01,87
2023-08-05T02,81
2023-08-05T03,77
2023-08-05T04,68
2023-08-05T05,46
2023-08-05T06,34
2023-08-05T07,19
2023-08-05T08,15
2023-08-05T09,10
2023-08-05T10,10
2023-08-05T11,16
2023-08-05T12,33
2023-08-05T13,50
2023-08-05T14,67
2023-08-05T15,61
2023-08-05T16,56
2023-08-05T17,51
2023-08-05T18,51
2023-08-05T19,47
2023-08-05T20,52
2023-08-05T21,58
2023-08-05T22,64
2023-08-05T23,65
2023-08-06T00,70
2023-08-06T01,72
2023-08-06T02,72
2023-08-06T03,66
2023-08-06T04,58
2023-08-06T05,46
2023-08-06T06,27
2023-08-06T07,19
2023-08-06T08,13
2023-08-06T09,9
2023-08-06T10,9
2023-08-06T11,14
2023-08-06T12,29
2023-08-06T13,45
2023-08-06T14,61
2023-08-06T15,57
2023-08-06T16,46
2023-08-06T17,46
2023-08-06T18,47
2023-08-06T19,46
2023-08-06T20,48
2023-08-06T21,50
2023-08-06T22,56
