Categoría: Noticias locales

Tiempo,Geo: Inglaterra
2023-07-29T22,69
2023-07-29T23,67
2023-07-30T00,53
2023-07-30T01,36
2023-07-30T02,25
2023-07-30T03,16
2023-07-30T04,10
2023-07-30T05,9
2023-07-30T06,12
2023-07-30T07,26
2023-07-30T08,49
2023-07-30T09,69
2023-07-30T10,72
2023-07-30T11,80
2023-07-30T12,83
2023-07-30T13,81
2023-07-30T14,78
2023-07-30T15,73
2023-07-30T16,69
2023-07-30T17,73
2023-07-30T18,72
2023-07-30T19,84
2023-07-30T20,81
2023-07-30T21,82
2023-07-30T22,100
2023-07-30T23,92
2023-07-31T00,68
2023-07-31T01,35
2023-07-31T02,21
2023-07-31T03,14
2023-07-31T04,10
2023-07-31T05,11
2023-07-31T06,13
2023-07-31T07,34
2023-07-31T08,55
2023-07-31T09,72
2023-07-31T10,86
2023-07-31T11,81
2023-07-31T12,81
2023-07-31T13,80
2023-07-31T14,76
2023-07-31T15,71
2023-07-31T16,70
2023-07-31T17,75
2023-07-31T18,71
2023-07-31T19,73
2023-07-31T20,67
2023-07-31T21,64
2023-07-31T22,76
2023-07-31T23,71
2023-08-01T00,42
2023-08-01T01,29
2023-08-01T02,16
2023-08-01T03,9
2023-08-01T04,10
2023-08-01T05,9
2023-08-01T06,18
2023-08-01T07,34
2023-08-01T08,53
2023-08-01T09,72
2023-08-01T10,82
2023-08-01T11,80
2023-08-01T12,79
2023-08-01T13,70
2023-08-01T14,74
2023-08-01T15,71
2023-08-01T16,74
2023-08-01T17,81
2023-08-01T18,79
2023-08-01T19,84
2023-08-01T20,82
2023-08-01T21,84
2023-08-01T22,88
2023-08-01T23,87
2023-08-02T00,59
2023-08-02T01,33
2023-08-02T02,17
2023-08-02T03,11
2023-08-02T04,6
2023-08-02T05,12
2023-08-02T06,18
2023-08-02T07,34
2023-08-02T08,55
2023-08-02T09,74
2023-08-02T10,91
2023-08-02T11,83
2023-08-02T12,86
2023-08-02T13,78
2023-08-02T14,72
2023-08-02T15,70
2023-08-02T16,70
2023-08-02T17,73
2023-08-02T18,71
2023-08-02T19,70
2023-08-02T20,71
2023-08-02T21,74
2023-08-02T22,72
2023-08-02T23,70
2023-08-03T00,48
2023-08-03T01,30
2023-08-03T02,13
2023-08-03T03,11
2023-08-03T04,9
2023-08-03T05,10
2023-08-03T06,16
2023-08-03T07,35
2023-08-03T08,59
2023-08-03T09,71
2023-08-03T10,83
2023-08-03T11,82
2023-08-03T12,78
2023-08-03T13,73
2023-08-03T14,69
2023-08-03T15,69
2023-08-03T16,63
2023-08-03T17,69
2023-08-03T18,66
2023-08-03T19,60
2023-08-03T20,72
2023-08-03T21,69
2023-08-03T22,78
2023-08-03T23,69
2023-08-04T00,50
2023-08-04T01,25
2023-08-04T02,17
2023-08-04T03,10
2023-08-04T04,9
2023-08-04T05,10
2023-08-04T06,18
2023-08-04T07,36
2023-08-04T08,55
2023-08-04T09,85
2023-08-04T10,92
2023-08-04T11,85
2023-08-04T12,84
2023-08-04T13,80
2023-08-04T14,72
2023-08-04T15,68
2023-08-04T16,73
2023-08-04T17,73
2023-08-04T18,74
2023-08-04T19,68
2023-08-04T20,76
2023-08-04T21,75
2023-08-04T22,78
2023-08-04T23,73
2023-08-05T00,53
2023-08-05T01,29
2023-08-05T02,17
2023-08-05T03,14
2023-08-05T04,7
2023-08-05T05,7
2023-08-05T06,12
2023-08-05T07,24
2023-08-05T08,42
2023-08-05T09,65
2023-08-05T10,79
2023-08-05T11,83
2023-08-05T12,70
2023-08-05T13,72
2023-08-05T14,64
2023-08-05T15,64
2023-08-05T16,61
2023-08-05T17,67
2023-08-05T18,71
2023-08-05T19,68
2023-08-05T20,67
2023-08-05T21,67
